Length,1st run (second),2nd run (second),3rd Run (second),4th Run (second),5th Run (second)
(m),,,,,
0.1,7.4,6.2,5.7,7.2,6.3
0.2,9.2,8.2,9.3,9.7,10.1
0.3,11.2,10.8,9.4,12.2,11.2
0.4,13.4,11.5,13.8,13.5,12.3
0.5,15.1,14.1,13.1,11.3,15.8
0.6,18.8,17.6,13.4,17.2,16.5
0.7,19.1,17.2,15.3,16.1,15.8
0.8,20.1,15.6,18.2,19.4,15.6
0.9,20.1,19.2,17.5,18.2,22.2
1,20.1,19.5,18.3,17.4,18.6
